standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg,patch_label_strikt,patch_label_locker,anteil_ausgemagert,cluster_id,datum,mischgut_typ_geschaetzt,groesstkorn_mm,flickstelle,mtd_mittel_mm,label_visuell_autor,label_visuell_betreuer,belichtung_s
S001,0,0,0,0,0,193,0.3158742516577626,,,,,,,,,,,,,,,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,1,0,1,50,0,193,0.4322532148514054,,,,,,,,,,,,,,,exkludiert,exkludiert,0.8487476173857016,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,2,0,2,100,0,193,0.6279363204381325,,,,,,,,,,,,,,,ausgemagert,ausgemagert,0.9981476012778868,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,3,0,3,150,0,193,0.6190501758436469,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,4,0,4,200,0,193,0.6636419769658246,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,5,0,5,250,0,193,0.64186958039142,,,,,,,,,,,,,,,unklar,intakt,0.1629305484710999,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,6,0,6,300,0,193,0.437622486509705,,,,,,,,,,,,,,,intakt,intakt,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,7,1,0,0,50,193,0.4865633976751053,,,,,,,,,,,,,,,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,8,1,1,50,50,193,0.7446642862895648,0.348486151357848,0.0077355713583528,2.42660970443852,0.0641864463686943,-2.569163084030152,8.456392288208008,0.2830920815467834,0.2713872790336609,0.8365409970283508,0.1075780517701348,0.2505125999450683,0.2422520071268081,0.8368797898292542,18.957778930664062,ausgemagert,ausgemagert,0.9693951515476924,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,9,1,2,100,50,193,0.8850438937958066,0.3689492862137228,0.0058033331297338,2.5028194624037843,0.0767494291067123,-1.9648200273513796,5.153651237487793,0.275980144739151,0.2271159440279007,0.7244584560394287,0.0910607577274243,0.278383195400238,0.2421288341283798,0.8690466284751892,19.8594913482666,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,10,1,3,150,50,193,0.9117023275792638,0.3937039948540006,0.006304545328021,2.639434507923597,0.081384003162384,-1.607615351676941,3.205873489379883,0.2991029620170593,0.2303899675607681,0.7546076774597168,0.1056831566548881,0.2901388108730316,0.2661246061325073,0.8683053255081177,21.61992645263672,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,11,1,4,200,50,193,0.916507825713442,0.3806012422007421,0.0065266015008091,2.59386096139729,0.082294188439846,-1.7861833572387695,4.054981231689453,0.3062053918838501,0.2434183359146118,0.7953718304634094,0.1143267231026099,0.2916446626186371,0.2445418089628219,0.8719586730003357,20.92849922180176,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,12,1,5,250,50,193,0.8631372654299444,0.3599108168786277,0.0060597332194447,2.481031367049599,0.0476877614855766,-2.302175283432007,7.799727439880371,0.2846715450286865,0.2493545860052108,0.7784330248832703,0.0976019408416534,0.269876092672348,0.2381232678890228,0.8102343082427979,19.701171875,unklar,intakt,0.1806491449434884,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,13,1,6,300,50,193,0.6856291444065612,,,,,,,,,,,,,,,intakt,intakt,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,14,2,0,0,100,193,0.5948079143064243,,,,,,,,,,,,,,,exkludiert,exkludiert,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,15,2,1,50,100,193,0.8490697736851996,0.3792170911477017,0.0073076272383332,2.6102988133186518,0.0808851718902587,-2.021894693374634,5.257086753845215,0.3151792287826538,0.2658348381519317,0.8542304635047913,0.1266323078382394,0.2599098682403564,0.2761384844779968,0.8500626087188721,21.18946075439453,exkludiert,exkludiert,0.8617412547987865,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,16,2,2,100,100,193,0.9492603828290692,0.3923599204644484,0.0065798796713352,2.619390249925822,0.0932827740907669,-1.7453038692474363,4.039486885070801,0.3106385767459869,0.2504028975963592,0.8003934621810913,0.1145960010181283,0.2762231230735779,0.2786522805690765,0.8834562301635742,21.254392623901367,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,17,2,3,150,100,193,0.9760798947622756,0.4014296448595918,0.0063935010693967,2.6562263932896366,0.1054690033197403,-1.3884286880493164,2.083537578582764,0.3120535910129547,0.2339412122964859,0.7716445922851562,0.1152153583805489,0.3034193813800812,0.2628353834152221,0.9398507475852966,21.721025466918945,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,18,2,4,200,100,193,0.9829257161266074,0.3891291768442417,0.0061199045740067,2.606547809834585,0.0800098553299903,-1.5722514390945437,3.084922790527344,0.3053551912307739,0.2349251806735992,0.7701199650764465,0.1097697539125447,0.2856810092926025,0.2642118036746979,0.8958315849304199,21.102718353271484,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,19,2,5,250,100,193,0.9666568230019598,0.3638271129294952,0.0049008228816092,2.473132948469407,0.0670786425471305,-1.7065471410751345,3.611675262451172,0.2835241556167602,0.2237494587898254,0.7266987562179565,0.0919821145888299,0.2616458237171173,0.2528074979782104,0.8499329090118408,19.59530067443848,unklar,unklar,0.4644688448012027,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,20,2,6,300,100,193,0.8423313377540337,0.3262517618906901,0.004020663909614,2.285338943140378,0.0269907545298337,-2.2457919120788574,7.321181297302246,0.2371674925088882,0.2056269943714141,0.646411657333374,0.0635198878123406,0.2215212732553482,0.2395173013210296,0.7434096932411194,17.67555046081543,intakt,intakt,0.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,21,3,0,0,150,193,0.6880990093693791,,,,,,,,,,,,,,,exkludiert,exkludiert,0.5097049585223764,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,22,3,1,50,150,193,0.9090982308249886,0.3980483026403767,0.0078272596001625,2.7068082793522,0.0794732868671417,-1.682727932929993,3.707036018371582,0.3254415988922119,0.2588984072208404,0.8343602418899536,0.1306735965508076,0.2692811191082001,0.2931384146213531,0.8613234162330627,22.39123916625977,ausgemagert,ausgemagert,0.9431394131386076,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
S001,23,3,2,100,150,193,0.9855298128808828,0.3853072565793974,0.0056273606605827,2.571582673814861,0.1097601428627967,-1.6329896450042725,3.4969873428344727,0.2935435175895691,0.2237172573804855,0.7298603057861328,0.0968128575320076,0.2753151953220367,0.2695611715316772,0.9494794607162476,20.75958824157715,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.12,ausgemagert,ausgemagert,1_10
